course,description
Python Programming,"python coding programming basics"
Machine Learning,"machine learning artificial intelligence data"
Data Science,"data analysis python statistics"
Web Development,"html css javascript website"
Artificial Intelligence,"ai machine learning deep learning"
Cyber Security,"security ethical hacking networking"
Cloud Computing,"aws azure cloud devops"
Java Programming,"java oop software development"
Deep Learning,"neural networks ai machine learning"
Android Development,"mobile app kotlin java"
